,Year,Genre,Region,Sales
5315,2003-01-01,Misc,North America,0.26
5316,2011-01-01,Fighting,North America,0.18
5317,2010-01-01,Shooter,North America,0.13
5318,2007-01-01,Sports,North America,0.17
5319,2009-01-01,Misc,North America,0.17
5320,2002-01-01,Fighting,North America,0.09
5321,2008-01-01,Racing,North America,0.11
5322,2010-01-01,Strategy,North America,0.13
5323,2008-01-01,Shooter,North America,0.23
5324,2005-01-01,Shooter,North America,0.17
5325,2001-01-01,Role-Playing,North America,0.0
5326,2008-01-01,Platform,North America,0.17
5327,2002-01-01,Sports,North America,0.17
5328,2003-01-01,Misc,North America,0.17
5329,2004-01-01,Sports,North America,0.27
5330,2008-01-01,Misc,North America,0.32
5331,2003-01-01,Shooter,North America,0.17
5332,2015-01-01,Simulation,North America,0.1
5333,2000-01-01,Sports,North America,0.0
5334,1998-01-01,Racing,North America,0.19
5335,2000-01-01,Role-Playing,North America,0.1
5336,2007-01-01,Action,North America,0.3
5337,1999-01-01,Role-Playing,North America,0.19
5338,1996-01-01,Fighting,North America,0.0
5339,2002-01-01,Platform,North America,0.17
5340,2010-01-01,Adventure,North America,0.18
5341,2006-01-01,Sports,North America,0.32
5342,2012-01-01,Racing,North America,0.06
5343,2006-01-01,Platform,North America,0.27
5344,2011-01-01,Fighting,North America,0.09
5345,2015-01-01,Misc,North America,0.16
5346,2005-01-01,Adventure,North America,0.17
5347,2007-01-01,Action,North America,0.3
5348,2008-01-01,Sports,North America,0.08
5349,1998-01-01,Puzzle,North America,0.0
5350,2009-01-01,Simulation,North America,0.32
5351,2005-01-01,Misc,North America,0.25
5352,2011-01-01,Strategy,North America,0.0
5353,2011-01-01,Action,North America,0.11
5354,2002-01-01,Platform,North America,0.25
5355,2008-01-01,Misc,North America,0.17
5356,2006-01-01,Action,North America,0.11
5357,1999-01-01,Fighting,North America,0.0
5358,1999-01-01,Racing,North America,0.19
5359,2007-01-01,Role-Playing,North America,0.2
5360,2007-01-01,Action,North America,0.13
5361,2004-01-01,Platform,North America,0.1
5362,2014-01-01,Action,North America,0.25
5363,2007-01-01,Action,North America,0.31
5364,2006-01-01,Shooter,North America,0.28
5365,2006-01-01,Action,North America,0.27
5366,1980-01-01,Action,North America,0.32
5367,2002-01-01,Action,North America,0.25
5368,2003-01-01,Simulation,North America,0.08
5369,2010-01-01,Action,North America,0.15
5370,2010-01-01,Action,North America,0.15
5371,2004-01-01,Adventure,North America,0.17
5372,1995-01-01,Shooter,North America,0.0
5373,2011-01-01,Action,North America,0.19
5374,2009-01-01,Racing,North America,0.07
5375,2004-01-01,Platform,North America,0.25
5376,2010-01-01,Role-Playing,North America,0.24
5377,1997-01-01,Fighting,North America,0.19
5378,2000-01-01,Puzzle,North America,0.17
5379,2004-01-01,Shooter,North America,0.26
5380,2001-01-01,Simulation,North America,0.17
5381,1982-01-01,Action,North America,0.32
5382,1983-01-01,Action,North America,0.32
5383,2016-01-01,Action,North America,0.17
5384,2005-01-01,Action,North America,0.28
5385,2011-01-01,Action,North America,0.29
5386,2005-01-01,Fighting,North America,0.26
5387,2009-01-01,Action,North America,0.14
5388,2004-01-01,Simulation,North America,0.22
5389,1981-01-01,Action,North America,0.32
5390,2011-01-01,Action,North America,0.13
5391,2007-01-01,Action,North America,0.31
5392,2012-01-01,Action,North America,0.15
5393,1995-01-01,Fighting,North America,0.0
5394,1998-01-01,Racing,North America,0.27
5395,1982-01-01,Action,North America,0.32
5396,2009-01-01,Action,North America,0.15
5397,2011-01-01,Strategy,North America,0.22
5398,1998-01-01,Misc,North America,0.19
5399,2008-01-01,Racing,North America,0.29
5400,1981-01-01,Shooter,North America,0.32
5401,2007-01-01,Sports,North America,0.0
5402,2004-01-01,Adventure,North America,0.17
5403,2011-01-01,Action,North America,0.14
5404,2006-01-01,Sports,North America,0.25
5405,2007-01-01,Misc,North America,0.0
5406,1997-01-01,Shooter,North America,0.05
5407,2009-01-01,Puzzle,North America,0.31
5408,2008-01-01,Misc,North America,0.31
5409,2014-01-01,Platform,North America,0.13
5410,2007-01-01,Puzzle,North America,0.28
5411,2008-01-01,Role-Playing,North America,0.14
5412,2008-01-01,Simulation,North America,0.3
5413,1998-01-01,Action,North America,0.19
5414,2011-01-01,Sports,North America,0.09
5415,2002-01-01,Racing,North America,0.25
5416,2013-01-01,Strategy,North America,0.15
5417,2008-01-01,Simulation,North America,0.31
5418,2008-01-01,Sports,North America,0.29
5419,2013-01-01,Simulation,North America,0.18
5420,2005-01-01,Racing,North America,0.24
5421,2011-01-01,Simulation,North America,0.11
5422,2003-01-01,Action,North America,0.26
5423,2009-01-01,Simulation,North America,0.21
5424,2009-01-01,Misc,North America,0.1
5425,2010-01-01,Misc,North America,0.0
5426,2016-01-01,Role-Playing,North America,0.0
5427,2007-01-01,Misc,North America,0.28
5428,2007-01-01,Action,North America,0.29
5429,2012-01-01,Racing,North America,0.17
5430,2008-01-01,Action,North America,0.04
5431,2011-01-01,Action,North America,0.27
5432,1996-01-01,Action,North America,0.19
5433,2001-01-01,Racing,North America,0.16
5434,2006-01-01,Adventure,North America,0.3
5435,2015-01-01,Shooter,North America,0.17
5436,2005-01-01,Shooter,North America,0.25
5437,2009-01-01,Action,North America,0.12
5438,2005-01-01,Misc,North America,0.16
5439,2011-01-01,Action,North America,0.0
5440,2011-01-01,Shooter,North America,0.06
5441,2009-01-01,Action,North America,0.14
5442,2006-01-01,Shooter,North America,0.21
5443,2009-01-01,Action,North America,0.17
5444,2008-01-01,Shooter,North America,0.15
5445,1996-01-01,Racing,North America,0.06
5446,2011-01-01,Role-Playing,North America,0.13
5447,2012-01-01,Action,North America,0.09
5448,2011-01-01,Fighting,North America,0.23
5449,2003-01-01,Adventure,North America,0.16
5450,2003-01-01,Platform,North America,0.24
5451,1998-01-01,Puzzle,North America,0.06
5452,2010-01-01,Misc,North America,0.0
5453,2007-01-01,Role-Playing,North America,0.14
5454,2006-01-01,Fighting,North America,0.27
5455,2006-01-01,Role-Playing,North America,0.14
5456,2009-01-01,Sports,North America,0.12
5457,1998-01-01,Action,North America,0.19
5458,2009-01-01,Role-Playing,North America,0.0
5459,2011-01-01,Misc,North America,0.31
5460,2010-01-01,Action,North America,0.15
5461,2004-01-01,Misc,North America,0.13
5462,2012-01-01,Shooter,North America,0.14
5463,2009-01-01,Misc,North America,0.0
5464,2009-01-01,Role-Playing,North America,0.26
5465,2011-01-01,Fighting,North America,0.2
5466,2003-01-01,Fighting,North America,0.26
5467,2007-01-01,Puzzle,North America,0.14
5468,2005-01-01,Simulation,North America,0.26
5469,2003-01-01,Action,North America,0.25
5470,2007-01-01,Action,North America,0.29
5471,2009-01-01,Shooter,North America,0.31
5472,2010-01-01,Misc,North America,0.31
5473,2001-01-01,Platform,North America,0.12
5474,2003-01-01,Shooter,North America,0.25
5475,2010-01-01,Role-Playing,North America,0.12
5476,2008-01-01,Simulation,North America,0.3
5477,2002-01-01,Action,North America,0.16
5478,2001-01-01,Racing,North America,0.25
5479,2006-01-01,Role-Playing,North America,0.21
5480,2009-01-01,Sports,North America,0.31
5481,1999-01-01,Simulation,North America,0.0
5482,2015-01-01,Fighting,North America,0.09
5483,2004-01-01,Platform,North America,0.26
5484,2011-01-01,Sports,North America,0.0
5485,2012-01-01,Action,North America,0.14
5486,2002-01-01,Sports,North America,0.16
5487,2005-01-01,Action,North America,0.24
5488,2014-01-01,Action,North America,0.21
5489,2002-01-01,Fighting,North America,0.16
5490,1999-01-01,Sports,North America,0.0
5491,2011-01-01,Platform,North America,0.15
5492,2012-01-01,Action,North America,0.22
5493,1990-01-01,Sports,North America,0.0
5494,1994-01-01,Sports,North America,0.0
5495,2009-01-01,Action,North America,0.17
5496,2006-01-01,Misc,North America,0.26
5497,2008-01-01,Sports,North America,0.3
5498,2009-01-01,Sports,North America,0.16
5499,2016-01-01,Role-Playing,North America,0.1
5500,2001-01-01,Sports,North America,0.16
5501,2004-01-01,Platform,North America,0.17
5502,2014-01-01,Fighting,North America,0.1
5503,2009-01-01,Action,North America,0.14
5504,2006-01-01,Fighting,North America,0.26
5505,2001-01-01,Racing,North America,0.24
5506,2003-01-01,Action,North America,0.05
5507,2008-01-01,Sports,North America,0.08
5508,,Role-Playing,North America,0.0
5509,1998-01-01,Action,North America,0.26
5510,2011-01-01,Misc,North America,0.0
5511,2009-01-01,Strategy,North America,0.17
5512,1998-01-01,Platform,North America,0.18
5513,2006-01-01,Role-Playing,North America,0.09
5514,2010-01-01,Sports,North America,0.26
5515,2010-01-01,Sports,North America,0.27
5516,2002-01-01,Adventure,North America,0.1
5517,1991-01-01,Sports,North America,0.0
5518,2008-01-01,Adventure,North America,0.31
5519,2011-01-01,Action,North America,0.15
5520,2005-01-01,Shooter,North America,0.25
5521,2006-01-01,Action,North America,0.22
5522,2007-01-01,Strategy,North America,0.11
5523,2013-01-01,Racing,North America,0.01
5524,2003-01-01,Role-Playing,North America,0.16
5525,2005-01-01,Fighting,North America,0.16
5526,2007-01-01,Sports,North America,0.29
5527,2009-01-01,Racing,North America,0.09
5528,2009-01-01,Racing,North America,0.12
5529,2006-01-01,Platform,North America,0.25
5530,2009-01-01,Simulation,North America,0.28
5531,2008-01-01,Sports,North America,0.3
5532,2011-01-01,Misc,North America,0.2
5533,1994-01-01,Shooter,North America,0.0
5534,2003-01-01,Platform,North America,0.24
5535,2001-01-01,Adventure,North America,0.0
5536,2011-01-01,Action,North America,0.12
5537,2000-01-01,Sports,North America,0.18
5538,2003-01-01,Misc,North America,0.24
5539,2013-01-01,Strategy,North America,0.1
5540,2005-01-01,Fighting,North America,0.0
5541,1991-01-01,Strategy,North America,0.0
5542,2010-01-01,Platform,North America,0.19
5543,2008-01-01,Action,North America,0.19
5544,2010-01-01,Action,North America,0.22
5545,2005-01-01,Sports,North America,0.25
5546,2007-01-01,Misc,North America,0.0
5547,2011-01-01,Misc,North America,0.14
5548,2007-01-01,Role-Playing,North America,0.19
5549,1997-01-01,Misc,North America,0.0
5550,2007-01-01,Sports,North America,0.29
5551,1996-01-01,Sports,North America,0.16
5552,2010-01-01,Action,North America,0.09
5553,2007-01-01,Role-Playing,North America,0.2
5554,2015-01-01,Fighting,North America,0.12
5555,2007-01-01,Action,North America,0.0
5556,2014-01-01,Shooter,North America,0.19
5557,2006-01-01,Action,North America,0.25
5558,2011-01-01,Action,North America,0.11
5559,1983-01-01,Action,North America,0.31
5560,2010-01-01,Role-Playing,North America,0.13
5561,2012-01-01,Action,North America,0.1
5562,2005-01-01,Sports,North America,0.25
5563,2008-01-01,Misc,North America,0.3
5564,1981-01-01,Action,North America,0.3
5565,2013-01-01,Action,North America,0.2
5566,2009-01-01,Simulation,North America,0.3
5567,2005-01-01,Puzzle,North America,0.12
5568,2006-01-01,Fighting,North America,0.22
5569,1995-01-01,Fighting,North America,0.0
5570,2006-01-01,Sports,North America,0.24
5571,2004-01-01,Misc,North America,0.16
5572,2014-01-01,Action,North America,0.14
5573,2011-01-01,Shooter,North America,0.13
5574,2010-01-01,Misc,North America,0.25
5575,2009-01-01,Action,North America,0.15
5576,2009-01-01,Sports,North America,0.3
5577,2014-01-01,Fighting,North America,0.04
5578,2008-01-01,Role-Playing,North America,0.32
5579,2004-01-01,Action,North America,0.23
5580,2004-01-01,Action,North America,0.16
5581,2012-01-01,Fighting,North America,0.0
5582,2013-01-01,Action,North America,0.13
5583,2003-01-01,Shooter,North America,0.16
5584,1999-01-01,Sports,North America,0.18
5585,2015-01-01,Action,North America,0.06
5586,2006-01-01,Racing,North America,0.23
5587,2008-01-01,Action,North America,0.13
5588,2012-01-01,Sports,North America,0.3
5589,2008-01-01,Action,North America,0.18
5590,2009-01-01,Sports,North America,0.3
5591,2012-01-01,Fighting,North America,0.19
5592,2011-01-01,Role-Playing,North America,0.17
5593,1998-01-01,Sports,North America,0.3
5594,2008-01-01,Misc,North America,0.0
5595,2016-01-01,Action,North America,0.18
5596,2009-01-01,Fighting,North America,0.15
5597,2001-01-01,Racing,North America,0.16
5598,2007-01-01,Puzzle,North America,0.14
5599,1997-01-01,Puzzle,North America,0.18
5600,2005-01-01,Sports,North America,0.28
5601,2009-01-01,Action,North America,0.11
5602,2002-01-01,Role-Playing,North America,0.0
5603,2010-01-01,Shooter,North America,0.12
5604,2010-01-01,Platform,North America,0.22
5605,2008-01-01,Racing,North America,0.3
5606,2009-01-01,Action,North America,0.0
5607,2007-01-01,Action,North America,0.27
5608,2008-01-01,Platform,North America,0.16
5609,2006-01-01,Shooter,North America,0.27
5610,2009-01-01,Misc,North America,0.3
5611,1996-01-01,Action,North America,0.05
5612,1997-01-01,Sports,North America,0.18
5613,2014-01-01,Action,North America,0.09
5614,2005-01-01,Sports,North America,0.28
5615,1999-01-01,Simulation,North America,0.11
5616,2014-01-01,Shooter,North America,0.16
5617,2003-01-01,Fighting,North America,0.0
5618,,Role-Playing,North America,0.08
5619,2010-01-01,Strategy,North America,0.0
5620,2008-01-01,Action,North America,0.16
5621,2016-01-01,Action,North America,0.03
5622,2009-01-01,Sports,North America,0.18
5623,2011-01-01,Misc,North America,0.3
5624,2005-01-01,Shooter,North America,0.16
5625,,Shooter,North America,0.24
5626,2007-01-01,Simulation,North America,0.3
5627,2009-01-01,Simulation,North America,0.15
5628,2003-01-01,Action,North America,0.25
5629,2000-01-01,Simulation,North America,0.16
5630,1997-01-01,Sports,North America,0.15
5631,2000-01-01,Platform,North America,0.18
5632,1995-01-01,Puzzle,North America,0.0
5633,2016-01-01,Racing,North America,0.03
5634,2001-01-01,Action,North America,0.23
5635,2000-01-01,Sports,North America,0.18
5636,2011-01-01,Misc,North America,0.0
5637,1997-01-01,Racing,North America,0.18
5638,2007-01-01,Sports,North America,0.27
5639,2003-01-01,Platform,North America,0.16
5640,1995-01-01,Misc,North America,0.18
5641,2008-01-01,Sports,North America,0.26
5642,2004-01-01,Misc,North America,0.16
5643,2008-01-01,Sports,North America,0.0
5644,2001-01-01,Simulation,North America,0.0
5645,1995-01-01,Fighting,North America,0.0
5646,1999-01-01,Sports,North America,0.0
5647,2005-01-01,Misc,North America,0.23
5648,2002-01-01,Fighting,North America,0.16
5649,2005-01-01,Fighting,North America,0.29
5650,2005-01-01,Platform,North America,0.23
5651,1991-01-01,Puzzle,North America,0.0
5652,2009-01-01,Action,North America,0.17
5653,2003-01-01,Sports,North America,0.16
5654,2009-01-01,Misc,North America,0.16
5655,2009-01-01,Puzzle,North America,0.14
5656,2002-01-01,Adventure,North America,0.23
5657,,Racing,North America,0.3
5658,1982-01-01,Action,North America,0.3
5659,1997-01-01,Adventure,North America,0.18
5660,2008-01-01,Sports,North America,0.0
5661,2016-01-01,Platform,North America,0.1
5662,2007-01-01,Action,North America,0.04
5663,2002-01-01,Sports,North America,0.24
5664,2008-01-01,Role-Playing,North America,0.28
5665,2010-01-01,Strategy,North America,0.0
5666,1993-01-01,Role-Playing,North America,0.0
5667,2003-01-01,Fighting,North America,0.0
5668,2002-01-01,Misc,North America,0.23
5669,,Sports,North America,0.16
5670,1997-01-01,Simulation,North America,0.0
5671,1997-01-01,Strategy,North America,0.0
5672,1994-01-01,Role-Playing,North America,0.0
5673,2003-01-01,Sports,North America,0.24
5674,2001-01-01,Sports,North America,0.23
5675,2008-01-01,Sports,North America,0.03
5676,2007-01-01,Shooter,North America,0.28
5677,2009-01-01,Simulation,North America,0.29
5678,2004-01-01,Strategy,North America,0.24
5679,2001-01-01,Racing,North America,0.16
5680,2010-01-01,Sports,North America,0.28
5681,1996-01-01,Misc,North America,0.0
5682,2001-01-01,Action,North America,0.18
5683,2000-01-01,Strategy,North America,0.08
5684,2007-01-01,Action,North America,0.08
5685,2011-01-01,Adventure,North America,0.2
5686,2010-01-01,Fighting,North America,0.23
5687,2002-01-01,Adventure,North America,0.15
5688,2009-01-01,Misc,North America,0.1
5689,2007-01-01,Racing,North America,0.13
5690,2008-01-01,Misc,North America,0.0
5691,2015-01-01,Misc,North America,0.24
5692,2008-01-01,Action,North America,0.17
5693,2004-01-01,Action,North America,0.0
5694,2002-01-01,Adventure,North America,0.22
5695,1998-01-01,Platform,North America,0.18
5696,2016-01-01,Action,North America,0.1
5697,1999-01-01,Sports,North America,0.0
5698,2011-01-01,Role-Playing,North America,0.09
5699,2015-01-01,Fighting,North America,0.18
5700,2011-01-01,Role-Playing,North America,0.12
5701,2009-01-01,Racing,North America,0.09
5702,2010-01-01,Sports,North America,0.1
5703,1997-01-01,Strategy,North America,0.18
5704,2011-01-01,Role-Playing,North America,0.0
5705,2003-01-01,Racing,North America,0.24
5706,2010-01-01,Misc,North America,0.29
5707,1995-01-01,Sports,North America,0.17
5708,2007-01-01,Misc,North America,0.29
5709,2010-01-01,Action,North America,0.25
5710,2007-01-01,Sports,North America,0.0
5711,2007-01-01,Shooter,North America,0.28
5712,2003-01-01,Sports,North America,0.22
5713,2014-01-01,Shooter,North America,0.1
5714,1995-01-01,Platform,North America,0.0
5715,2011-01-01,Puzzle,North America,0.08
5716,1999-01-01,Action,North America,0.0
5717,2008-01-01,Sports,North America,0.0
5718,1998-01-01,Misc,North America,0.17
5719,2008-01-01,Action,North America,0.28
5720,2008-01-01,Misc,North America,0.27
5721,2002-01-01,Sports,North America,0.23
5722,2005-01-01,Sports,North America,0.15
5723,2007-01-01,Adventure,North America,0.28
5724,2005-01-01,Action,North America,0.25
5725,2015-01-01,Misc,North America,0.15
5726,2014-01-01,Strategy,North America,0.0
5727,2010-01-01,Platform,North America,0.19
5728,2007-01-01,Sports,North America,0.29
5729,2016-01-01,Shooter,North America,0.05
5730,2003-01-01,Misc,North America,0.15
5731,1996-01-01,Adventure,North America,0.17
5732,2004-01-01,Strategy,North America,0.23
5733,2005-01-01,Action,North America,0.23
5734,2005-01-01,Action,North America,0.23
5735,2006-01-01,Action,North America,0.27
5736,1997-01-01,Shooter,North America,0.1
5737,1998-01-01,Misc,North America,0.17
5738,2009-01-01,Puzzle,North America,0.29
5739,2014-01-01,Action,North America,0.15
5740,2010-01-01,Action,North America,0.19
5741,2012-01-01,Sports,North America,0.08
5742,2003-01-01,Simulation,North America,0.07
5743,2009-01-01,Strategy,North America,0.0
5744,2007-01-01,Action,North America,0.29
5745,1995-01-01,Shooter,North America,0.0
5746,2001-01-01,Action,North America,0.17
5747,2005-01-01,Shooter,North America,0.23
5748,2005-01-01,Action,North America,0.22
5749,1999-01-01,Strategy,North America,0.0
5750,2005-01-01,Platform,North America,0.27
5751,2009-01-01,Sports,North America,0.29
5752,2010-01-01,Role-Playing,North America,0.07
5753,1997-01-01,Sports,North America,0.0
5754,1998-01-01,Platform,North America,0.06
5755,1999-01-01,Racing,North America,0.25
5756,1998-01-01,Racing,North America,0.25
5757,1999-01-01,Sports,North America,0.25
5758,2001-01-01,Simulation,North America,0.0
5759,2015-01-01,Simulation,North America,0.0
5760,2006-01-01,Fighting,North America,0.31
5761,2010-01-01,Action,North America,0.24
5762,2015-01-01,Action,North America,0.18
5763,2014-01-01,Action,North America,0.0
5764,2008-01-01,Misc,North America,0.29
5765,2010-01-01,Action,North America,0.18
5766,2007-01-01,Sports,North America,0.0
5767,2008-01-01,Misc,North America,0.28
5768,2008-01-01,Simulation,North America,0.25
5769,,Shooter,North America,0.23
5770,2010-01-01,Strategy,North America,0.18
5771,2002-01-01,Action,North America,0.22
5772,2009-01-01,Strategy,North America,0.15
5773,1982-01-01,Action,North America,0.29
5774,2005-01-01,Misc,North America,0.15
5775,2005-01-01,Platform,North America,0.25
5776,2005-01-01,Sports,North America,0.28
5777,2008-01-01,Sports,North America,0.15
5778,1997-01-01,Role-Playing,North America,0.0
5779,2008-01-01,Sports,North America,0.28
5780,2010-01-01,Sports,North America,0.23
5781,2006-01-01,Strategy,North America,0.28
5782,1998-01-01,Racing,North America,0.17
5783,2004-01-01,Misc,North America,0.24
5784,1997-01-01,Simulation,North America,0.0
5785,2006-01-01,Puzzle,North America,0.28
5786,2012-01-01,Role-Playing,North America,0.14
5787,2002-01-01,Racing,North America,0.24
5788,2012-01-01,Strategy,North America,0.0
5789,2012-01-01,Action,North America,0.14
5790,2010-01-01,Puzzle,North America,0.11
5791,1998-01-01,Sports,North America,0.17
5792,2002-01-01,Racing,North America,0.15
5793,2007-01-01,Sports,North America,0.28
5794,2011-01-01,Fighting,North America,0.17
5795,2001-01-01,Sports,North America,0.15
5796,1998-01-01,Misc,North America,0.17
5797,2001-01-01,Misc,North America,0.15
5798,,Action,North America,0.29
5799,1993-01-01,Platform,North America,0.0
5800,1981-01-01,Action,North America,0.29
5801,2002-01-01,Action,North America,0.15
5802,1999-01-01,Platform,North America,0.17
5803,2013-01-01,Role-Playing,North America,0.08
5804,2010-01-01,Role-Playing,North America,0.18
5805,2009-01-01,Sports,North America,0.25
5806,2009-01-01,Misc,North America,0.29
5807,2013-01-01,Platform,North America,0.22
5808,1999-01-01,Misc,North America,0.17
5809,2009-01-01,Action,North America,0.21
5810,2010-01-01,Action,North America,0.09
5811,2002-01-01,Fighting,North America,0.23
5812,2000-01-01,Puzzle,North America,0.17
5813,2001-01-01,Puzzle,North America,0.0
5814,2000-01-01,Platform,North America,0.17
5815,2002-01-01,Action,North America,0.15
5816,1996-01-01,Role-Playing,North America,0.0
5817,1994-01-01,Fighting,North America,0.0
5818,2000-01-01,Role-Playing,North America,0.15
5819,2013-01-01,Adventure,North America,0.18
5820,2009-01-01,Simulation,North America,0.28
5821,2009-01-01,Role-Playing,North America,0.13
5822,2005-01-01,Action,North America,0.22
5823,2006-01-01,Action,North America,0.28
5824,2003-01-01,Racing,North America,0.23
5825,2002-01-01,Racing,North America,0.22
5826,2014-01-01,Action,North America,0.09
5827,2014-01-01,Shooter,North America,0.15
5828,1995-01-01,Misc,North America,0.0
5829,1996-01-01,Shooter,North America,0.0
5830,1998-01-01,Fighting,North America,0.17
5831,2005-01-01,Misc,North America,0.0
5832,2011-01-01,Misc,North America,0.24
5833,2003-01-01,Platform,North America,0.22
5834,2000-01-01,Action,North America,0.17
5835,2012-01-01,Strategy,North America,0.0
5836,2007-01-01,Shooter,North America,0.24
5837,2007-01-01,Simulation,North America,0.22
5838,,Action,North America,0.26
5839,2006-01-01,Puzzle,North America,0.12
5840,2014-01-01,Action,North America,0.2
5841,2006-01-01,Simulation,North America,0.0
5842,1995-01-01,Platform,North America,0.05
5843,2005-01-01,Misc,North America,0.15
5844,2010-01-01,Action,North America,0.24
5845,2002-01-01,Racing,North America,0.23
5846,2005-01-01,Platform,North America,0.22
5847,2003-01-01,Action,North America,0.15
5848,2011-01-01,Fighting,North America,0.18
5849,2011-01-01,Racing,North America,0.29
5850,2009-01-01,Puzzle,North America,0.0
5851,2010-01-01,Platform,North America,0.19
5852,2005-01-01,Adventure,North America,0.22
5853,2005-01-01,Adventure,North America,0.15
5854,1995-01-01,Role-Playing,North America,0.0
5855,2006-01-01,Misc,North America,0.0
5856,2007-01-01,Strategy,North America,0.0
5857,1997-01-01,Racing,North America,0.17
5858,2010-01-01,Strategy,North America,0.05
5859,2006-01-01,Adventure,North America,0.15
5860,2007-01-01,Platform,North America,0.01
5861,,Racing,North America,0.17
5862,1990-01-01,Sports,North America,0.0
5863,2011-01-01,Misc,North America,0.27
5864,2008-01-01,Strategy,North America,0.24
5865,2007-01-01,Action,North America,0.28
5866,2007-01-01,Strategy,North America,0.0
5867,2013-01-01,Role-Playing,North America,0.1
5868,1994-01-01,Sports,North America,0.0
5869,2004-01-01,Simulation,North America,0.02
5870,,Role-Playing,North America,0.13
5871,2011-01-01,Action,North America,0.14
5872,2015-01-01,Action,North America,0.12
5873,2009-01-01,Adventure,North America,0.28
5874,2007-01-01,Action,North America,0.15
5875,2008-01-01,Racing,North America,0.27
5876,2014-01-01,Action,North America,0.09
5877,2014-01-01,Action,North America,0.05
5878,2010-01-01,Action,North America,0.08
5879,2002-01-01,Strategy,North America,0.05
5880,2008-01-01,Role-Playing,North America,0.0
5881,1994-01-01,Role-Playing,North America,0.0
5882,2015-01-01,Simulation,North America,0.05
5883,2001-01-01,Sports,North America,0.15
5884,2008-01-01,Role-Playing,North America,0.2
5885,1999-01-01,Racing,North America,0.24
5886,1999-01-01,Shooter,North America,0.24
5887,2006-01-01,Misc,North America,0.0
5888,2003-01-01,Racing,North America,0.21
5889,2009-01-01,Simulation,North America,0.15
5890,2007-01-01,Action,North America,0.24
5891,2015-01-01,Action,North America,0.17
5892,1997-01-01,Simulation,North America,0.0
5893,2011-01-01,Action,North America,0.0
5894,2000-01-01,Platform,North America,0.15
5895,2003-01-01,Action,North America,0.21
5896,1997-01-01,Puzzle,North America,0.0
5897,2006-01-01,Action,North America,0.2
5898,2011-01-01,Role-Playing,North America,0.13
5899,2000-01-01,Action,North America,0.17
5900,2005-01-01,Racing,North America,0.02
5901,,Sports,North America,0.23
5902,2003-01-01,Fighting,North America,0.15
5903,2000-01-01,Role-Playing,North America,0.1
5904,1996-01-01,Strategy,North America,0.0
5905,2007-01-01,Simulation,North America,0.23
5906,2011-01-01,Misc,North America,0.15
5907,2012-01-01,Role-Playing,North America,0.13
5908,1995-01-01,Sports,North America,0.0
5909,1996-01-01,Fighting,North America,0.07
5910,2007-01-01,Action,North America,0.26
5911,2014-01-01,Sports,North America,0.0
5912,2008-01-01,Simulation,North America,0.28
5913,,Simulation,North America,0.28
5914,2012-01-01,Misc,North America,0.08
5915,2004-01-01,Fighting,North America,0.15
5916,2006-01-01,Misc,North America,0.27
5917,2009-01-01,Sports,North America,0.26
5918,2011-01-01,Shooter,North America,0.21
5919,2003-01-01,Simulation,North America,0.01
5920,1995-01-01,Role-Playing,North America,0.0
5921,2014-01-01,Role-Playing,North America,0.0
5922,2016-01-01,Role-Playing,North America,0.06
5923,2011-01-01,Shooter,North America,0.12
5924,2005-01-01,Strategy,North America,0.15
5925,2009-01-01,Misc,North America,0.28
5926,2010-01-01,Misc,North America,0.0
5927,2012-01-01,Shooter,North America,0.13
5928,2006-01-01,Simulation,North America,0.02
5929,2016-01-01,Role-Playing,North America,0.0
5930,2007-01-01,Action,North America,0.17
5931,2003-01-01,Sports,North America,0.0
5932,2006-01-01,Platform,North America,0.18
5933,2005-01-01,Simulation,North America,0.3
5934,2007-01-01,Sports,North America,0.0
5935,2009-01-01,Shooter,North America,0.14
5936,2004-01-01,Action,North America,0.21
5937,2002-01-01,Platform,North America,0.21
5938,2009-01-01,Racing,North America,0.19
5939,1997-01-01,Simulation,North America,0.16
5940,2009-01-01,Misc,North America,0.16
5941,2007-01-01,Role-Playing,North America,0.25
5942,1999-01-01,Simulation,North America,0.0
5943,2004-01-01,Action,North America,0.23
5944,2012-01-01,Fighting,North America,0.0
5945,2004-01-01,Sports,North America,0.14
5946,2003-01-01,Action,North America,0.22
5947,2005-01-01,Adventure,North America,0.15
5948,2008-01-01,Sports,North America,0.12
5949,2007-01-01,Puzzle,North America,0.02
5950,2010-01-01,Action,North America,0.22
5951,2006-01-01,Fighting,North America,0.24
5952,2003-01-01,Sports,North America,0.22
5953,2014-01-01,Action,North America,0.14
5954,2002-01-01,Platform,North America,0.23
5955,2011-01-01,Misc,North America,0.28
5956,1986-01-01,Sports,North America,0.28
5957,2020-01-01,Simulation,North America,0.27
5958,2002-01-01,Role-Playing,North America,0.14
5959,2006-01-01,Shooter,North America,0.26
5960,2010-01-01,Shooter,North America,0.09
5961,2006-01-01,Platform,North America,0.21
5962,2009-01-01,Action,North America,0.12
5963,2010-01-01,Role-Playing,North America,0.13
5964,2009-01-01,Sports,North America,0.26
5965,2005-01-01,Role-Playing,North America,0.25
5966,2010-01-01,Misc,North America,0.04
5967,2009-01-01,Shooter,North America,0.16
5968,2003-01-01,Racing,North America,0.21
5969,2002-01-01,Sports,North America,0.0
5970,2007-01-01,Action,North America,0.25
5971,2014-01-01,Action,North America,0.01
